,classifier,method,Koi_5652_952_540_AE,Koi_5652_952_540_HOG,Koi_5652_952_540_LBP,Koi_5652_952_540_MN2,Koi_5652_952_540_RGB,Pigeons_29033_960_540_300f_AE,Pigeons_29033_960_540_300f_HOG,Pigeons_29033_960_540_300f_LBP,Pigeons_29033_960_540_300f_MN2,Pigeons_29033_960_540_300f_RGB,Pigeons_4927_960_540_600f_AE,Pigeons_4927_960_540_600f_HOG,Pigeons_4927_960_540_600f_LBP,Pigeons_4927_960_540_600f_MN2,Pigeons_4927_960_540_600f_RGB,Pigeons_8234_1280_720_AE,Pigeons_8234_1280_720_HOG,Pigeons_8234_1280_720_LBP,Pigeons_8234_1280_720_MN2,Pigeons_8234_1280_720_RGB,Pigs_49651_960_540_500f_AE,Pigs_49651_960_540_500f_HOG,Pigs_49651_960_540_500f_LBP,Pigs_49651_960_540_500f_MN2,Pigs_49651_960_540_500f_RGB
1,ST-LDA,Independent,0.229349503,0.135581472,0.23628083,0.172273475,0.341294617,0.149155293,0.34047843,0.1903615,0.359910365,0.491278075,0.136325337,0.147565506,0.135867523,0.122939841,0.165019609,0.277633464,0.215680622,0.198306458,0.252241208,0.325440337,0.188976307,0.250162727,0.177283861,0.249933826,0.345135078
2,ST-LR,Independent,0.14849515,0.119647011,0.234590892,0.204142398,0.2287581,0.167154611,0.373676645,0.194136453,0.3366614,0.371904029,0.125061527,0.152723661,0.153516445,0.103140105,0.153481829,0.263437456,0.22269541,0.191826499,0.21930441,0.372349784,0.205135886,0.277116035,0.180066684,0.243823065,0.304091544
3,ST-ETE,Independent,0.26563003,0.123407996,0.231554925,0.207425099,0.298441097,0.268285027,0.364070788,0.189064952,0.253994156,0.423045914,0.158275887,0.152100157,0.147813092,0.085246341,0.121797524,0.305242635,0.198593997,0.15625145,0.218298568,0.324201708,0.228200103,0.283480977,0.167649189,0.197846947,0.297102673
4,ST-CV,Independent,0.151381559,0.115676491,0.266310256,0.153841307,0.267701077,0.165066086,0.372601335,0.206666246,0.356629463,0.398288665,0.140874552,0.146335806,0.13604229,0.112483378,0.171766074,0.263127799,0.231117435,0.189210729,0.237002735,0.385317315,0.200322799,0.25314386,0.164358004,0.2651334,0.311250364
5,SSI-CoF,CoForest - 5NN,0.199932737,0.140232218,0.190899995,0.168452515,0.202310493,0.247495467,0.381286613,0.164783771,0.210209443,0.385830469,0.145741429,0.135675449,0.129642614,0.07104801,0.101170389,0.28479728,0.221399854,0.141411471,0.19658485,0.267341168,0.18426041,0.296075326,0.146648163,0.174875352,0.270046014
6,SSI-CoTC,CoTrainingByCommittee,0.277937881,0.119497452,0.212046237,0.221572447,0.26466511,0.247566046,0.214148628,0.177656957,0.20904557,0.36782165,0.136975224,0.10802429,0.129514283,0.077261099,0.099762334,0.230636632,0.138144116,0.140019464,0.171809733,0.254703237,0.203250292,0.180553591,0.149534337,0.162609432,0.231548753
7,SSI-DeCo,DemocraticCo,0.23369354,0.161603179,0.215829998,0.180064956,0.220653078,0.188955351,0.303806578,0.140763867,0.134985558,0.384485398,0.15774251,0.11382959,0.10987475,0.065117123,0.104439881,0.260945695,0.148740993,0.112725027,0.141466223,0.257490514,0.136502792,0.264366289,0.087081684,0.12994039,0.272341931
8,SSI-Tri,TriTraining - 5NN,0.197151095,0.164989888,0.190750436,0.167906663,0.220136835,0.247910457,0.396307366,0.165198761,0.210108325,0.398431859,0.147647402,0.139300806,0.12997484,0.07104801,0.101776585,0.28479728,0.215786863,0.141000287,0.196790443,0.267915883,0.183891406,0.310713747,0.146607588,0.174731426,0.277020332
9,SST-LP,LabelPropagation,0.12542666,0.155022593,0.152031418,0.164773521,0.059714943,0.151654736,0.401521043,0.141957262,0.23059555,0.053117755,0.155314981,0.148472056,0.06160279,0.089084669,0.05257359,0.293110163,0.228100271,0.112400504,0.196414068,0.045641447,0.197213034,0.296119725,0.110498867,0.192566073,0.03561183
10,SST-LS,LabelSpreading,0.147208338,0.188342312,0.143544528,0.188409879,0.059714943,0.142769259,0.411703069,0.147776629,0.229561298,0.053117755,0.148239034,0.165170735,0.06160279,0.081029352,0.05257359,0.284284568,0.240609481,0.109864142,0.211630422,0.045641447,0.198411925,0.262717987,0.116432773,0.1800345,0.03561183
11,CC-SCK,Seeded cop-kmeans,0.112387717,0.096632639,0.114332741,0.20482021,0.118432255,0.140102398,0.289683874,0.102241237,0.101912333,0.214359618,0.101481467,0.147786605,0.099994808,0.129933413,0.140133474,0.145795804,0.056860609,0.057883717,0.087313408,0.06056536,0.203171557,0.248438374,0.121450185,0.183760399,0.215909582
